Äuli,000.000,000.000,0
Aadorf,710.377,260.736,528
"Aadorf, Bahnhof",710.335,260.768,528
"Aadorf, Morgental",709.827,261.373,517
"Aadorf, Zentrum",710.079,261.060,528
Aarau,646.254,249.128,383
Aarau CT,647.585,249.548,380
Aarau GB,647.396,249.489,383
Aarau Ost (Abzw),647.840,249.574,383
"Aarau Rohr, Gemeindehaus",648.785,250.486,375
"Aarau Rohr, Quellhölzli",648.044,250.143,374
"Aarau Rohr, Rigistrasse",648.459,250.334,375
"Aarau Rohr, Salamatt",647.824,249.937,369
"Aarau Rohr, Unterdorf",649.010,250.605,375
Aarau WSB,646.360,249.090,383
"Aarau, Aarenau",646.085,250.261,365
"Aarau, Aarepark",645.500,249.676,370
"Aarau, Achenbergstrasse",645.906,250.076,383
"Aarau, Allmendweg",645.228,249.187,368
"Aarau, Alte Badanstalt",644.741,249.567,383
"Aarau, Bahnhof",646.235,249.184,383
"Aarau, Bavaria",647.151,249.018,385
"Aarau, Berufsschule",646.535,249.761,364
"Aarau, Binzenhofstrasse",645.923,247.791,419
"Aarau, Buchenhof",646.216,248.704,396
"Aarau, Dammweg",644.938,248.513,368
"Aarau, Delfterstrasse",647.080,249.958,364
"Aarau, Dossenstrasse",646.000,247.988,416
"Aarau, Dufourstrasse",646.354,248.429,399
"Aarau, Friedhof",645.920,248.823,397
"Aarau, Gais",646.618,249.122,383
"Aarau, General Guisanstrasse",646.580,247.690,405
"Aarau, Hans Hässigstrasse",646.158,247.920,412
"Aarau, Heinrich Wirristrasse",646.461,248.251,399
"Aarau, Herzogplatz",646.585,248.687,396
"Aarau, Hirslanden Klinik",645.506,249.091,368
"Aarau, Holzmarkt",645.821,249.210,383
"Aarau, Ifang",645.311,248.701,367
"Aarau, Käfergrund",646.340,247.799,409
"Aarau, Kasinopark",645.922,249.213,384
"Aarau, Keba",646.724,248.038,399
"Aarau, Kettenbrücke",645.574,249.511,371
"Aarau, Kunsthaus",645.876,249.062,383
"Aarau, Neumattstrasse",647.314,250.067,365
"Aarau, Obere Vorstadt",645.985,248.900,392
"Aarau, Pestalozzistrasse",645.582,248.630,407
"Aarau, Post Kaufhaus",645.716,249.307,398
"Aarau, Rathaus",645.630,249.420,367
"Aarau, Roggenhausen",645.167,248.490,393
"Aarau, Schanz",645.573,248.860,405
"Aarau, Sonnmattweg",645.636,249.827,383
"Aarau, Spital",646.973,248.693,392
"Aarau, Tannerstrasse",645.777,248.340,413
